,Product_Name,Product_Cost,Manufacture_Date,Expiry_Date,SKU,Store_Name,Store_Address,Region,Sale_Date,Quantity_Sold,Product_Amount,Product_Measure,Product_Volume,Manufacturer,Expired_days,days2sale
4727,Молоко,394.0,2023-03-10 19:27:32,2023-03-15 19:27:32,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-03-12 19:27:32,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",3,2
4728,Молоко,79.4,2023-05-12 17:02:22,2023-05-17 17:02:22,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-05-14 17:02:22,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",3,2
4783,Молоко,392.5,2023-02-26 11:56:23,2023-03-03 11:56:23,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-02-26 11:56:23,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",5,0
4841,Молоко,396.0,2024-07-31 11:16:28,2024-08-05 11:16:28,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-08-03 11:16:28,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",2,3
4871,Молоко,354.5,2021-04-02 12:13:01,2021-04-07 12:13:01,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-04-03 12:13:01,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",4,1
4996,Молоко,394.5,2023-04-28 09:49:17,2023-05-03 09:49:17,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-05-02 09:49:17,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",1,4
5286,Молоко,239.4,2023-01-29 16:07:54,2023-02-03 16:07:54,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-02-02 16:07:54,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",1,4
5500,Молоко,236.7,2024-10-23 13:44:45,2024-10-28 13:44:45,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-10-23 13:44:45,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",5,0
5540,Молоко,346.8,2024-11-29 16:41:42,2024-12-04 16:41:42,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-12-02 16:41:42,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",2,3
5731,Молоко,331.0,2021-05-12 10:46:12,2021-05-17 10:46:12,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2021-05-16 10:46:12,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",1,4
5735,Молоко,274.8,2021-12-08 11:29:15,2021-12-13 11:29:15,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-12-10 11:29:15,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
6078,Молоко,420.5,2024-05-25 20:05:58,2024-05-30 20:05:58,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-05-25 20:05:58,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",5,0
6287,Молоко,144.2,2021-06-15 19:26:17,2021-06-20 19:26:17,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2021-06-16 19:26:17,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",4,1
6736,Молоко,200.1,2021-06-23 21:02:22,2021-06-28 21:02:22,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-06-27 21:02:22,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",1,4
6845,Молоко,67.4,2021-10-04 20:30:19,2021-10-09 20:30:19,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2021-10-08 20:30:19,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",1,4
6959,Молоко,373.5,2023-05-31 20:35:29,2023-06-05 20:35:29,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-06-03 20:35:29,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",2,3
7067,Молоко,395.5,2023-02-14 15:09:39,2023-02-19 15:09:39,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-02-17 15:09:39,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",2,3
7184,Молоко,264.8,2021-05-08 13:37:23,2021-05-13 13:37:23,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2021-05-10 13:37:23,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
7239,Молоко,80.0,2023-12-13 14:17:49,2023-12-18 14:17:49,1003,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2023-12-16 14:17:49,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",2,3
7311,Молоко,130.6,2021-02-02 10:05:21,2021-02-07 10:05:21,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-02-06 10:05:21,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",1,4
7351,Молоко,65.8,2021-03-10 17:09:46,2021-03-15 17:09:46,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-03-14 17:09:46,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",1,4
7373,Молоко,343.6,2024-07-01 19:52:36,2024-07-06 19:52:36,1003,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2024-07-02 19:52:36,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",4,1
7459,Молоко,231.6,2024-08-06 17:48:24,2024-08-11 17:48:24,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-08-09 17:48:24,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
7701,Молоко,355.5,2021-04-12 12:09:02,2021-04-17 12:09:02,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-04-13 12:09:02,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",4,1
7727,Молоко,383.5,2022-06-09 18:18:33,2022-06-14 18:18:33,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-06-09 18:18:33,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",5,0
7786,Молоко,72.2,2021-07-09 10:28:33,2021-07-14 10:28:33,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-07-11 10:28:33,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",3,2
7789,Молоко,223.2,2021-12-08 14:09:59,2021-12-13 14:09:59,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-12-10 14:09:59,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",3,2
8159,Молоко,330.8,2024-08-26 10:44:03,2024-08-31 10:44:03,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-08-29 10:44:03,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",2,3
8696,Молоко,82.9,2023-08-13 19:02:23,2023-08-18 19:02:23,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-08-16 19:02:23,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",2,3
8723,Молоко,86.2,2024-05-22 13:33:51,2024-05-27 13:33:51,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-05-25 13:33:51,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",2,3
8818,Молоко,132.0,2021-03-29 21:09:43,2021-04-03 21:09:43,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-04-02 21:09:43,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",1,4
8852,Молоко,149.2,2023-07-14 13:40:07,2023-07-19 13:40:07,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-07-16 13:40:07,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",3,2
8905,Молоко,230.7,2023-11-26 13:26:05,2023-12-01 13:26:05,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-11-29 13:26:05,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",2,3
8914,Молоко,77.0,2022-12-07 20:54:42,2022-12-12 20:54:42,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2022-12-07 20:54:42,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",5,0
9064,Молоко,366.0,2021-12-07 14:48:36,2021-12-12 14:48:36,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2021-12-10 14:48:36,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",2,3
9249,Молоко,310.0,2022-09-15 16:50:55,2022-09-20 16:50:55,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2022-09-17 16:50:55,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",3,2
9284,Молоко,215.7,2023-02-22 19:10:13,2023-02-27 19:10:13,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-02-24 19:10:13,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",3,2
9504,Молоко,257.1,2024-07-08 10:47:24,2024-07-13 10:47:24,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-07-10 10:47:24,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",3,2
9541,Молоко,78.2,2022-09-26 20:42:26,2022-10-01 20:42:26,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2022-09-30 20:42:26,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",1,4
9595,Молоко,70.8,2021-03-27 09:19:33,2021-04-01 09:19:33,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2021-03-31 09:19:33,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",1,4
9619,Молоко,244.5,2024-02-10 16:47:27,2024-02-15 16:47:27,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2024-02-14 16:47:27,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",1,4
9764,Молоко,151.2,2023-10-18 12:41:30,2023-10-23 12:41:30,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-10-20 12:41:30,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",3,2
9783,Молоко,344.8,2024-07-31 12:44:31,2024-08-05 12:44:31,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-07-31 12:44:31,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",5,0
9972,Молоко,172.6,2024-07-15 14:41:52,2024-07-20 14:41:52,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-07-15 14:41:52,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",5,0
9986,Молоко,317.6,2023-05-10 17:05:12,2023-05-15 17:05:12,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-05-10 17:05:12,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",5,0
10530,Молоко,269.7,2024-12-11 09:34:03,2024-12-16 09:34:03,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-12-14 09:34:03,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",2,3
11018,Молоко,78.1,2022-09-02 16:48:49,2022-09-07 16:48:49,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-09-06 16:48:49,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",1,4
11097,Молоко,279.2,2022-05-12 15:04:31,2022-05-17 15:04:31,1004,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2022-05-13 15:04:31,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",4,1
11181,Молоко,160.8,2023-11-29 18:00:04,2023-12-04 18:00:04,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-11-30 18:00:04,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",4,1
11264,Молоко,149.0,2022-05-04 17:37:24,2022-05-09 17:37:24,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2022-05-05 17:37:24,2.0,1.86,л,0.002,"ОАО ""Молокозавод №1""",4,1
11443,Молоко,331.0,2021-05-15 14:42:50,2021-05-20 14:42:50,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2021-05-19 14:42:50,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",1,4
11512,Молоко,315.2,2024-08-17 17:35:22,2024-08-22 17:35:22,1004,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2024-08-17 17:35:22,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",5,0
11571,Молоко,380.0,2022-09-29 11:06:45,2022-10-04 11:06:45,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2022-10-03 11:06:45,5.0,4.65,л,0.005,"ОАО ""Молокозавод №1""",1,4
11695,Молоко,152.4,2023-08-15 21:57:16,2023-08-20 21:57:16,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-08-19 21:57:16,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",1,4
11718,Молоко,214.8,2023-02-02 09:49:04,2023-02-07 09:49:04,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2023-02-06 09:49:04,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",1,4
11759,Молоко,370.5,2023-07-20 14:37:43,2023-07-25 14:37:43,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-07-23 14:37:43,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",2,3
11785,Молоко,322.0,2023-04-23 15:20:30,2023-04-28 15:20:30,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2023-04-27 15:20:30,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",1,4
11991,Молоко,266.8,2021-07-13 10:25:18,2021-07-18 10:25:18,1004,Фермерский остров,"ул. Садовая, 80",Ростов-на-Дону,2021-07-13 10:25:18,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",5,0
11996,Молоко,72.1,2021-06-23 16:31:32,2021-06-28 16:31:32,1003,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2021-06-23 16:31:32,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",5,0
12075,Молоко,304.0,2022-04-18 17:28:48,2022-04-23 17:28:48,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-04-21 17:28:48,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",2,3
12127,Молоко,345.5,2022-02-10 11:37:36,2022-02-15 11:37:36,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-02-10 11:37:36,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",5,0
12218,Молоко,308.8,2024-01-23 18:11:25,2024-01-28 18:11:25,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-01-25 18:11:25,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",3,2
12440,Молоко,331.6,2024-06-25 20:08:07,2024-06-30 20:08:07,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2024-06-28 20:08:07,4.0,3.72,л,0.004,"ОАО ""Молокозавод №1""",2,3
12532,Молоко,244.2,2023-10-09 15:24:57,2023-10-14 15:24:57,1003,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-10-10 15:24:57,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",4,1
12566,Молоко,144.0,2022-09-14 13:57:26,2022-09-19 13:57:26,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-09-18 13:57:26,2.0,2.8,л,0.003,"Фермерское хозяйство ""Молочный рай""",1,4
12762,Молоко,68.9,2022-01-26 21:33:44,2022-01-31 21:33:44,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-01-27 21:33:44,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",4,1
13093,Молоко,331.0,2021-04-04 18:22:33,2021-04-09 18:22:33,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2021-04-08 18:22:33,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",1,4
13310,Молоко,70.7,2022-06-29 21:46:44,2022-07-04 21:46:44,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2022-07-01 21:46:44,1.0,1.4,л,0.0015,"Фермерское хозяйство ""Молочный рай""",3,2
13319,Молоко,288.4,2022-09-29 10:35:56,2022-10-04 10:35:56,1004,Фермерская дача,"ул. Советская, 40",Ростов-на-Дону,2022-09-30 10:35:56,4.0,5.6,л,0.006,"Фермерское хозяйство ""Молочный рай""",4,1
13607,Молоко,216.9,2021-08-14 13:46:24,2021-08-19 13:46:24,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2021-08-16 13:46:24,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",3,2
13702,Молоко,256.8,2024-12-28 10:05:39,2025-01-02 10:05:39,1003,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2024-12-31 10:05:39,3.0,2.79,л,0.003,"ОАО ""Молокозавод №1""",2,3
13707,Молоко,227.7,2023-10-21 20:27:31,2023-10-26 20:27:31,1004,Фермерский дом,"ул. Гагарина, 28",Ростов-на-Дону,2023-10-23 20:27:31,3.0,4.2,л,0.0045,"Фермерское хозяйство ""Молочный рай""",3,2
13767,Молоко,74.3,2021-12-22 14:43:37,2021-12-27 14:43:37,1003,Фермерский рынок,"ул. Жукова, 11",Ростов-на-Дону,2021-12-24 14:43:37,1.0,0.93,л,0.001,"ОАО ""Молокозавод №1""",3,2
13788,Молоко,385.0,2023-12-08 11:40:00,2023-12-13 11:40:00,1004,Фермерская ярмарка,"ул. Чехова, 10",Ростов-на-Дону,2023-12-11 11:40:00,5.0,7.0,л,0.0075,"Фермерское хозяйство ""Молочный рай""",2,3
